Name,Country
Gastem Inc.,Canada
Gatekeeper Systems Inc.,Canada
GB Minerals Ltd.,Canada
GC-Global Capital Corp.,Canada
Gem International Resources Inc,Canada
Gemini Corporation,Canada
Gemoscan Canada Inc,Canada
Genoil Inc.,Canada
Gensource Potash Corporation,Canada
Genterra Capital Inc,Canada
Gentor Resources Inc,Canada
Geodex Minerals Ltd.,Canada
Geomega Resources Inc,Canada
GeoNovus Minerals Corp,Canada
Georox Resources Inc,Canada
Gespeg Copper Resources Inc,Canada
Getty Copper Inc.,Canada
GFK Resources Inc,Canada
GGL Resources Corp,Canada
Gideon Capital Corp,Canada
Ginger Beef Corporation,Canada
Ginguro Exploration Inc,Canada
GINSMS Inc.,China/Asia
Gitennes Exploration Inc,Canada
Giyani Gold Corp,Canada
Glass Earth Gold Limited,Canada
Glen Eagle Resources Inc,Canada
Glenmark Capital Corp.,Canada
Global Cobalt Corporation,Canada
Global Hunter Corp.,Canada
Global Key Investment Limited,Canada
Global Met Coal Corporation,Canada
Global Minerals Ltd.,Canada
GMV Minerals Inc,Canada
GobiMin Inc.,China/Asia
Golconda Resources Ltd.,Canada
Gold Bullion Development Corp,Canada
Gold Canyon Resources Inc.,Canada
Gold Finder Explorations Ltd.,Canada
Gold Jubilee Capital Corp,Canada
Gold Mountain Mining Corporation,Canada
Gold Reach Resources Ltd.,Canada
Gold Reserve Inc,USA
Gold Ridge Exploration Corp,Canada
Gold Royalties Corporation,Canada
Gold Standard Ventures Corp,Canada
Goldbank Mining Corporation,Canada
Goldcliff Resource Corporation,Canada
Golden Arrow Resources Corporation,Canada
Golden Band Resources Inc.,Canada
Golden Bridge Mining Corporation,Canada
Golden Coast Energy Corp.,Canada
Golden Dawn Minerals Inc,Canada
Golden Goliath Resources Ltd.,Canada
Golden Harp Resources Inc,Canada
Golden Hope Mines Limited,Canada
Golden Peak Minerals Inc.,Canada
Golden Reign Resources Ltd,Canada
Golden Secret Ventures Ltd.,Canada
Golden Sun Capital Inc,Canada
Golden Sun Mining Corp.,Canada
Golden Tag Resources Ltd.,Canada
Golden Valley Mines Ltd.,Canada
Golden Virtue Resources Inc.,Canada
Goldeneye Resources Corp.,Canada
Goldex Resources Corporation,Canada
Goldeye Explorations Limited,Canada
GoldON Resources Ltd.,Canada
GoldQuest Mining Corp.,Canada
