Company,Country
Abraxas Energy Partners LP,US
ALITHEIA RESOURCES INC,US
TAYLOR NICHOLAS C,US
Falconridge Oil Technologies Corp,US
TERRA SYSTEMS CORP,US
PETROBRAS INTERNATIONAL FINANCE CO,KY
FRONTIER OILFIELD SERVICES INC,US
ENERGYTEC INC,US
RIDGEWOOD ENERGY T FUND LLC,US
SUN RIVER ENERGY INC,US
CONOCOPHILLIPS,US
American Standard Energy Corp,US
SYNERGY RESOURCES CORP,US
NOBLE DRILLING CORP,US
ATLAS PARTNERSHIP,US
UNIVERSAL TRACKING SOLUTIONS INC,US
CHANCELLOR GROUP INC,US
ATLAS AMERICA PUBLIC #11 2002 LTD,US
ANTERO RESOURCES Corp,US
PIONEER NATURAL RESOURCES USA INC,US
EnerJex Resources Inc,US
TRANSCOASTAL MARINE SERVICES INC,US
BP PLC,GB
PDC 2004 2006 DRILLING PROGRAM,US
Unbridled Energy CORP,CA
GEODYNE ENERGY INCOME LTD PARTNERSHIP II E,US
Globotek Holdings Inc,US
CHESAPEAKE ENERGY MARKETING INC,US
IEG ENERGY GROUP INC,US
MILAGRO OIL & GAS INC,US
PROLONG INTERNATIONAL CORP,US
COSTILLA ENERGY INC,US
ATLANTIC CASPIAN RESOURCES PLC,GB
KIANTONE PIPELINE CORP,US
MAVERICK OIL & GAS INC,US
TEXAS VANGUARD OIL CO,US
Eastern 1998D Limited Partnership,US
DAWSON GEOPHYSICAL CO,US
PERELMAN MARSHA REINES,US
JMG Exploration Inc,US
Black Raven Energy Inc,US
UNIVERSAL PROPERTY DEVELOPMENT & ACQUISITION CORP,US
Daybreak Oil & Gas Inc,US
TRINITY INDUSTRIES LEASING CO,US
Ridgewood Energy L Fund LLC,US
Trans Orient Petroleum Ltd,CA
Atlas America Public #14 2005 (A) LP,US
QUANTUM ENERGY INC,US
Colorado 2000D Limited Partnership,US
Constellation Energy Partners LLC,US
Colorado 2000B Limited Partnership,US
PLATINA ENERGY GROUP INC,US
APOLLO DRILLING INC,US
INNUITY INC,US
SEVEN SEAS PETROLEUM INC,CA
Ridgewood Energy O Fund LLC,US
ICAHN ENTERPRISES HOLDINGS LP,US
ROYALE ENERGY INC,US
NATIONAL INTELLIGENCE ASSOCIATION INC,US
JOY TECHNOLOGIES INC,US
SULPHCO INC,US
MERCURY AIR GROUP INC,US
Glen Rose Petroleum CORP,US
BOLT TECHNOLOGY CORP,US
RED MOUNTAIN RESOURCES INC,US
SEAHAWK DRILLING INC,US
NORTH COAST ENERGY INC / DE,US
CHILES OFFSHORE INC,US
PVR Gas Processing LLC,US
PVR GAS PROCESSING LLC,US
OIL STATES INTERNATIONAL INC,US
LITEWAVE CORP,US
ITP Energy Corp,US
Enduro Royalty Trust,US
ABF CAPITAL CORP,US
SEDCO INC,US
ARMADA WATER ASSETS INC,US
WICKLUND HOLDING CO,US
EPICURE CHARCOAL INC,US
MARINE PETROLEUM TRUST,US
PRIMA ENERGY CORP,US
AMERICAN PETRO HUNTER INC,US
PRIMEWEST ENERGY TRUST,CA
PIONEER NATURAL RESOURCES CO,US
PEMEX FINANCE LTD,US
COMPTON PETROLEUM CORP,CA
TREK RESOURCES INC,US
DISCOVERY OIL LTD,US
EASTERN AMERICAN NATURAL GAS TRUST,US
REPUBLIC RESOURCES INC,US
Core Laboratories LP,US
WILLBROS GROUP INC,PA
DORCHESTER MINERALS LP,US
Vantage Energy Services Inc,US
FIBER GLASS SYSTEMS HOLDINGS LLC,US
Glori Energy Inc,US
ATLAS ENERGY FOR NINETIES PUBLIC NO 8 LTD,US
Janus Resources Inc,US
Venoco Inc,US
TRANSACT ENERGY CORP,US
MEWBOURNE ENERGY PARTNERS 09 A LP,US
Transocean Partners LLC,MH
DOVER PETROLEUM INC,US
Oasis Petroleum Inc,US
DYNEGY INC,US
BASIC ENERGY SERVICES INC,US
RANCHER ENERGY CORP,US
CHINA NORTH EAST PETROLEUM HOLDINGS LTD,US
Core Resource Management Inc,US
CONOCOPHILLIPS HOLDING CO,US
Eastern 1996D Limited Partnership,US
ENBRIDGE ENERGY MANAGEMENT L L C,US
PETROBRAS PETROLEO BRASILEIRO SA,BR
STEEN RIVER OIL & GAS INC,CA
LEXINGTON ENERGYSERVICES INC,US
GEODYNE ENERGY INCOME LIMITED PARTNERSHIP II F,US
GEODYNE INSTITUTIONAL PENSION ENERGY INCOME P 2 LTD PTNSHIP,US
GEODYNE INSTITUTIONAL PENSION ENERGY INCOME P 1 LTD PTNSHIP,US
ROWAN COMPANIES Ltd,GB
Delek US Holdings Inc,US
POGO PRODUCING CO,US
Superior Offshore International Inc,US
TUBOSCOPE PIPELINE SERVICES INC,US
PAR PETROLEUM CORP,US
GEODYNE ENERGY INCOME LTD PARTNERSHIP II D,US
NewGen Technologies Inc,US
ARX Gold Corp,US
EMPIRIC ENERGY INC,US
ZION OIL & GAS INC,US
TX Holdings Inc,US
ATWOOD OCEANICS INC,US
ECA Marcellus Trust I,US
BCM Energy Partners Inc,US
Western Standard Energy Corp,US
BAROLA OIL & GAS CO INC,US
Massive Interactive Inc,US
ROYALITE PETROLEUM CO INC,US
RIDGEWOOD ENERGY X FUND LLC,US
ALLIED RESOURCES INC,US
Eclipse Resources Corp,US
MALLON RESOURCES CORP,US
Generation Zero Group Inc,CA
OCCIDENTAL PETROLEUM CORP,US
TUBOSCOPE HOLDING US INC,US
TUBO FGS LLC,US
VARCO LP,US
Reef Global Energy VII LP,US
FIBER GLASS SYSTEMS LP,US
ROCKY MOUNTAIN ENERGY CORP,US
PROGRESS ENERGY LTD,CA
BAKKEN RESOURCES INC,US
FUELNATION INC,US
Contango Energy CO,US
Ausam Energy Corp,CA
SOUTHWEST OIL & GAS INCOME FUND VII A L P,US
